frequency_mhz,level_dbm,buffer_voltage_mv,resistance,pwr_pw,efficiency
950.0,-12.0,1624.0,179687.0,14677000,23.261
950.0,-11.5,1626.0,156250.0,16920000,23.9
950.0,-11.0,1622.0,136718.0,19338000,24.345
950.0,-10.5,1599.0,117187.0,21818000,24.48
950.0,-10.0,1616.0,105468.0,24760000,24.76
950.0,-9.5,1507.0,85249.0,26498000,23.616
950.0,-9.0,1617.0,84941.0,30176000,23.97
950.0,-8.5,1638.0,77791.0,34490000,24.417
950.0,-8.0,1633.0,70211.0,37981000,23.964
950.0,-7.5,1619.0,63798.0,41085000,23.104
950.0,-7.0,1618.0,57951.0,45959000,23.034
950.0,-6.5,1625.0,53021.0,49558000,22.137
950.0,-6.0,1633.0,48374.0,55126000,21.946
950.0,-5.5,1633.0,44354.0,60122000,21.332
950.0,-5.0,1642.0,40639.0,66344000,20.98
950.0,-4.5,1624.0,37578.0,71138000,20.049
950.0,-4.0,1620.0,34154.0,76840000,19.301
950.0,-3.5,1640.0,31742.0,82883000,18.555
950.0,-3.0,1603.0,28972.0,88692000,17.696
950.0,-2.5,1615.0,26883.0,96301000,17.125
950.0,-2.0,1623.0,25136.0,104795000,16.609
950.0,-1.5,1612.0,23383.0,111267000,15.717
950.0,-1.0,1613.0,21623.0,120324000,15.148
950.0,-0.5,1626.0,20564.0,130791000,14.675
950.0,0.0,1600.0,18794.0,138093000,13.809
