frequency_mhz,level_dbm,buffer_voltage_mv,resistance,pwr_pw,efficiency
825.0,-10.0,1618.0,86173.0,30379000,30.379
825.0,-9.5,1631.0,78418.0,33922000,30.233
825.0,-9.0,1610.0,70211.0,36918000,29.325
825.0,-8.5,1635.0,62828.0,41257000,29.208
825.0,-8.0,1607.0,56313.0,45858000,28.934
825.0,-7.5,1638.0,50703.0,52916000,29.757
825.0,-7.0,1601.0,46033.0,57081000,28.608
825.0,-6.5,1606.0,41993.0,61420000,27.435
825.0,-6.0,1640.0,38259.0,67163000,26.738
825.0,-5.5,1609.0,35183.0,76819000,27.256
825.0,-5.0,1605.0,32088.0,81787000,25.863
825.0,-4.5,1629.0,29666.0,87702000,24.718
825.0,-4.0,1610.0,27232.0,95185000,23.909
825.0,-3.5,1616.0,25136.0,106090000,23.751
825.0,-3.0,1612.0,23032.0,111566000,22.26
825.0,-2.5,1634.0,21623.0,123477000,21.958
825.0,-2.0,1600.0,19856.0,128928000,20.434
825.0,-1.5,1616.0,18439.0,141626000,20.005
825.0,-1.0,1618.0,17017.0,153841000,19.367
825.0,-0.5,1599.0,15592.0,158087000,17.738
825.0,0.0,1597.0,14877.0,177934000,17.793
837.0,-20.0,548.0,1000000.0,297000,2.97
837.0,-19.5,667.0,1000000.0,436000,3.886
837.0,-19.0,793.0,1000000.0,628000,4.988
837.0,-18.5,935.0,1000000.0,874000,6.187
837.0,-18.0,1062.0,1000000.0,1129000,7.124
837.0,-17.5,1198.0,1000000.0,1435000,8.07
837.0,-17.0,1332.0,1000000.0,1774000,8.891
837.0,-16.5,1465.0,1000000.0,2137000,9.546
837.0,-16.0,1599.0,1000000.0,2556000,10.176
837.0,-15.5,1642.0,773437.0,3485000,12.365
837.0,-15.0,1632.0,539062.0,4940000,15.622
837.0,-14.5,1639.0,410156.0,6549000,18.458
837.0,-14.0,1639.0,320312.0,8243000,20.705
837.0,-13.5,1621.0,257812.0,10292000,23.041
837.0,-13.0,1620.0,207031.0,12676000,25.292
837.0,-12.5,1632.0,179687.0,14786000,26.294
837.0,-12.0,1610.0,148437.0,17289000,27.401
837.0,-11.5,1631.0,128906.0,19809000,27.981
837.0,-11.0,1620.0,113281.0,23167000,29.166
837.0,-10.5,1621.0,97656.0,26907000,30.19
837.0,-10.0,1617.0,85865.0,30451000,30.451
837.0,-9.5,1608.0,78730.0,33829000,30.15
837.0,-9.0,1606.0,70211.0,36735000,29.18
837.0,-8.5,1626.0,63151.0,42020000,29.748
837.0,-8.0,1642.0,56641.0,45479000,28.695
837.0,-7.5,1609.0,51035.0,50727000,28.526
837.0,-7.0,1627.0,46702.0,55434000,27.783
837.0,-6.5,1642.0,42669.0,60975000,27.237
837.0,-6.0,1610.0,38941.0,69659000,27.732
837.0,-5.5,1625.0,35526.0,74329000,26.373
837.0,-5.0,1616.0,32778.0,81156000,25.664
837.0,-4.5,1617.0,30013.0,87118000,24.553
837.0,-4.0,1609.0,27580.0,93868000,23.579
837.0,-3.5,1627.0,25486.0,103866000,23.253
837.0,-3.0,1617.0,23734.0,110166000,21.981
837.0,-2.5,1592.0,21623.0,117211000,20.843
837.0,-2.0,1600.0,20211.0,126663000,20.075
837.0,-1.5,1605.0,18439.0,139705000,19.734
837.0,-1.0,1631.0,17729.0,150229000,18.913
837.0,-0.5,1600.0,16305.0,162750000,18.261
837.0,0.0,1630.0,15235.0,174394000,17.439
850.0,-20.0,624.0,1000000.0,389000,3.89
850.0,-19.5,773.0,1000000.0,597000,5.321
850.0,-19.0,894.0,1000000.0,799000,6.347
850.0,-18.5,1029.0,1000000.0,1058000,7.49
850.0,-18.0,1155.0,1000000.0,1334000,8.417
850.0,-17.5,1290.0,1000000.0,1664000,9.357
850.0,-17.0,1424.0,1000000.0,2016000,10.104
850.0,-16.5,1555.0,1000000.0,2418000,10.801
850.0,-16.0,1642.0,882812.0,3054000,12.158
850.0,-15.5,1638.0,617187.0,4347000,15.424
850.0,-15.0,1643.0,464843.0,5743000,18.161
850.0,-14.5,1632.0,359375.0,7411000,20.887
850.0,-14.0,1617.0,289062.0,9191000,23.087
850.0,-13.5,1642.0,238281.0,10973000,24.565
850.0,-13.0,1610.0,199218.0,13027000,25.992
850.0,-12.5,1592.0,164062.0,15312000,27.229
850.0,-12.0,1638.0,144531.0,17801000,28.213
850.0,-11.5,1598.0,125000.0,20428000,28.855
850.0,-11.0,1590.0,109375.0,23114000,29.099
850.0,-10.5,1601.0,97656.0,26247000,29.45
850.0,-10.0,1608.0,86173.0,30005000,30.005
850.0,-9.5,1626.0,78104.0,33767000,30.095
850.0,-9.0,1628.0,70211.0,37378000,29.69
850.0,-8.5,1608.0,63151.0,42072000,29.785
850.0,-8.0,1608.0,56968.0,47097000,29.716
850.0,-7.5,1606.0,51698.0,49890000,28.055
850.0,-7.0,1597.0,46702.0,56333000,28.233
850.0,-6.5,1626.0,43006.0,60123000,26.856
850.0,-6.0,1624.0,39280.0,66400000,26.434
850.0,-5.5,1630.0,36211.0,73372000,26.033
850.0,-5.0,1608.0,33122.0,78064000,24.686
850.0,-4.5,1620.0,30359.0,86445000,24.364
850.0,-4.0,1616.0,27929.0,93503000,23.487
