frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-25.0,0.6,135.0,959538.0,18993.0
850.0,-24.5,0.63,147.0,959538.0,22520.0
850.0,-24.0,0.66,159.0,959538.0,26347.0
850.0,-23.5,0.69,172.0,959538.0,30831.0
850.0,-23.0,0.72,186.0,959538.0,36054.0
850.0,-22.5,0.75,201.0,959538.0,42104.0
850.0,-22.0,0.77,216.0,959538.0,48623.0
850.0,-21.5,0.79,232.0,959538.0,56093.0
850.0,-21.0,0.81,249.0,959538.0,64615.0
850.0,-20.5,0.84,268.0,959538.0,74852.0
850.0,-20.0,0.86,287.0,959538.0,85842.0
850.0,-19.5,0.87,306.0,959538.0,97584.0
850.0,-19.0,0.89,328.0,959538.0,112120.0
850.0,-18.5,0.91,351.0,959538.0,128396.0
850.0,-18.0,0.92,374.0,959538.0,145774.0
850.0,-17.5,0.95,403.0,959538.0,169257.0
850.0,-17.0,0.95,426.0,959538.0,189128.0
850.0,-16.5,0.97,456.0,959538.0,216704.0
850.0,-16.0,0.97,483.0,959538.0,243126.0
850.0,-15.5,0.97,511.0,959538.0,272132.0
850.0,-15.0,0.97,543.0,959538.0,307282.0
850.0,-14.5,0.98,577.0,959538.0,346968.0
850.0,-14.0,0.99,614.0,959538.0,392893.0
850.0,-13.5,0.99,652.0,959538.0,443029.0
850.0,-13.0,1.0,692.0,959538.0,499056.0
850.0,-12.5,1.0,735.0,959538.0,563005.0
850.0,-12.0,1.0,779.0,959538.0,632430.0
850.0,-11.5,1.0,824.0,959538.0,707607.0
850.0,-11.0,0.99,870.0,959538.0,788817.0
850.0,-10.5,0.99,921.0,959538.0,884009.0
850.0,-10.0,0.99,976.0,959538.0,992744.0
850.0,-9.5,0.99,1033.0,959538.0,1112086.0
850.0,-9.0,0.99,1094.0,959538.0,1247304.0
850.0,-8.5,0.99,1159.0,959538.0,1399924.0
850.0,-8.0,0.98,1219.0,959538.0,1548621.0
850.0,-7.5,0.98,1290.0,959538.0,1734272.0
850.0,-7.0,0.97,1365.0,959538.0,1941793.0
850.0,-6.5,0.97,1443.0,959538.0,2170053.0
850.0,-6.0,0.97,1527.0,959538.0,2430053.0
850.0,-5.5,0.96,1614.0,959538.0,2714844.0
850.0,-5.0,0.96,1707.0,959538.0,3036720.0
850.0,-4.5,1.48,1797.0,613983.0,5259443.0
850.0,-4.0,6.49,1795.0,124623.0,25854176.0
850.0,-3.5,13.95,1797.0,51828.0,62306263.0
850.0,-3.0,20.58,1796.0,31275.0,103137202.0
850.0,-2.5,26.32,1792.0,21699.0,147991336.0
850.0,-2.0,30.69,1796.0,16659.0,193626027.0
850.0,-1.5,34.58,1786.0,13031.0,244785204.0
850.0,-1.0,37.17,1788.0,10828.0,295247875.0
850.0,-0.5,39.04,1796.0,9271.0,347925358.0
850.0,0.0,40.64,1796.0,7938.0,406351221.0
850.0,0.5,39.78,1795.0,7219.0,446325668.0
850.0,1.0,40.38,1794.0,6331.0,508361396.0
850.0,1.5,40.51,1794.0,5624.0,572268136.0
850.0,2.0,40.31,1792.0,5026.0,638930362.0
850.0,2.5,39.86,1793.0,4535.0,708897243.0
850.0,3.0,39.2,1795.0,4120.0,782044902.0
850.0,3.5,38.34,1795.0,3754.0,858291156.0
850.0,4.0,37.26,1786.0,3408.0,935973004.0
850.0,4.5,35.7,1791.0,3188.0,1006173462.0
850.0,5.0,34.57,1797.0,2954.0,1093164861.0
850.0,5.5,33.17,1782.0,2698.0,1176991845.0
850.0,6.0,31.91,1787.0,2514.0,1270234287.0
850.0,6.5,30.5,1776.0,2315.0,1362495032.0
850.0,7.0,29.49,1790.0,2168.0,1477905904.0
850.0,7.5,28.19,1790.0,2021.0,1585403265.0
850.0,8.0,26.76,1772.0,1860.0,1688163440.0
850.0,8.5,25.75,1786.0,1750.0,1822740571.0
850.0,9.0,24.76,1796.0,1640.0,1966839024.0
850.0,9.5,23.57,1792.0,1529.0,2100238064.0
850.0,10.0,22.52,1764.0,1382.0,2251589001.0
862.5,-25.0,0.76,152.0,959538.0,24078.0
862.5,-24.5,0.8,165.0,959538.0,28373.0
862.5,-24.0,0.83,178.0,959538.0,33020.0
862.5,-23.5,0.87,193.0,959538.0,38819.0
862.5,-23.0,0.92,210.0,959538.0,45959.0
862.5,-22.5,0.92,223.0,959538.0,51825.0
862.5,-22.0,0.95,240.0,959538.0,60028.0
862.5,-21.5,0.98,258.0,959538.0,69370.0
862.5,-21.0,1.01,277.0,959538.0,79964.0
862.5,-20.5,1.03,297.0,959538.0,91928.0
862.5,-20.0,1.06,319.0,959538.0,106052.0
862.5,-19.5,1.07,340.0,959538.0,120474.0
862.5,-19.0,1.11,366.0,959538.0,139604.0
862.5,-18.5,1.11,388.0,959538.0,156892.0
862.5,-18.0,1.13,415.0,959538.0,179487.0
862.5,-17.5,1.14,442.0,959538.0,203602.0
862.5,-17.0,1.16,471.0,959538.0,231195.0
862.5,-16.5,1.17,502.0,959538.0,262630.0
862.5,-16.0,1.18,534.0,959538.0,297180.0
862.5,-15.5,1.19,568.0,959538.0,336228.0
862.5,-15.0,1.2,603.0,959538.0,378941.0
862.5,-14.5,1.21,641.0,959538.0,428207.0
