frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-25.0,0.6,135.0,959538.0,18993.0
850.0,-24.5,0.66,150.0,959538.0,23448.0
850.0,-24.0,0.67,160.0,959538.0,26679.0
850.0,-23.5,0.69,172.0,959538.0,30831.0
850.0,-23.0,0.72,186.0,959538.0,36054.0
850.0,-22.5,0.74,200.0,959538.0,41686.0
850.0,-22.0,0.77,216.0,959538.0,48623.0
850.0,-21.5,0.79,232.0,959538.0,56093.0
850.0,-21.0,0.81,249.0,959538.0,64615.0
850.0,-20.5,0.84,268.0,959538.0,74852.0
850.0,-20.0,0.86,287.0,959538.0,85842.0
850.0,-19.5,0.88,307.0,959538.0,98223.0
850.0,-19.0,0.89,328.0,959538.0,112120.0
850.0,-18.5,0.9,350.0,959538.0,127665.0
850.0,-18.0,0.92,374.0,959538.0,145774.0
850.0,-17.5,0.93,399.0,959538.0,165914.0
850.0,-17.0,0.95,426.0,959538.0,189128.0
850.0,-16.5,0.96,454.0,959538.0,214807.0
850.0,-16.0,0.97,484.0,959538.0,244134.0
850.0,-15.5,0.97,511.0,959538.0,272132.0
850.0,-15.0,0.98,544.0,959538.0,308415.0
850.0,-14.5,0.98,579.0,959538.0,349377.0
850.0,-14.0,0.99,614.0,959538.0,392893.0
850.0,-13.5,0.99,653.0,959538.0,444389.0
850.0,-13.0,1.0,692.0,959538.0,499056.0
850.0,-12.5,1.0,734.0,959538.0,561474.0
850.0,-12.0,1.0,780.0,959538.0,634055.0
850.0,-11.5,0.99,821.0,959538.0,702464.0
850.0,-11.0,0.99,870.0,959538.0,788817.0
850.0,-10.5,0.99,921.0,959538.0,884009.0
850.0,-10.0,0.99,976.0,959538.0,992744.0
850.0,-9.5,0.99,1033.0,959538.0,1112086.0
850.0,-9.0,5.56,1047.0,156478.0,7005515.0
850.0,-8.5,12.06,1047.0,64365.0,17031134.0
850.0,-8.0,17.28,1046.0,39950.0,27387133.0
850.0,-7.5,22.7,1045.0,27049.0,40372102.0
850.0,-7.0,27.33,1042.0,19908.0,54539079.0
850.0,-6.5,30.73,1047.0,15936.0,68788215.0
850.0,-6.0,33.86,1038.0,12667.0,85059130.0
850.0,-5.5,36.12,1032.0,10462.0,101799273.0
850.0,-5.0,37.68,1049.0,9236.0,119142594.0
850.0,-4.5,38.97,1050.0,7974.0,138261851.0
850.0,-4.0,38.51,1044.0,7110.0,153296202.0
850.0,-3.5,38.9,1046.0,6296.0,173779542.0
850.0,-3.0,39.0,1045.0,5587.0,195458206.0
850.0,-2.5,38.86,1048.0,5026.0,218524472.0
850.0,-2.0,38.16,1045.0,4535.0,240799338.0
850.0,-1.5,37.51,1046.0,4120.0,265562135.0
850.0,-1.0,36.69,1046.0,3754.0,291453383.0
850.0,-0.5,35.68,1041.0,3408.0,317981514.0
850.0,0.0,34.66,1039.0,3115.0,346555698.0
850.0,0.5,33.04,1040.0,2918.0,370664838.0
850.0,1.0,32.03,1043.0,2698.0,403205707.0
850.0,1.5,30.7,1033.0,2461.0,433599756.0
850.0,2.0,29.56,1033.0,2278.0,468432396.0
850.0,2.5,28.6,1041.0,2131.0,508531675.0
850.0,3.0,27.53,1044.0,1984.0,549362903.0
850.0,3.5,26.25,1035.0,1823.0,587616566.0
850.0,4.0,25.33,1044.0,1713.0,636273204.0
850.0,4.5,23.72,1047.0,1640.0,668420121.0
850.0,5.0,22.63,1046.0,1529.0,715576193.0
850.0,5.5,21.52,1041.0,1419.0,763693446.0
850.0,6.0,20.33,1029.0,1308.0,809511467.0
850.0,6.5,19.33,1026.0,1219.0,863557013.0
850.0,7.0,18.49,1030.0,1145.0,926550218.0
850.0,7.5,17.65,1031.0,1071.0,992493930.0
850.0,8.0,16.72,1026.0,998.0,1054785571.0
850.0,8.5,15.75,1015.0,924.0,1114962121.0
850.0,9.0,15.28,1041.0,893.0,1213528555.0
850.0,9.5,14.25,1020.0,819.0,1270329670.0
850.0,10.0,13.56,1005.0,745.0,1355738255.0
862.5,-25.0,0.76,152.0,959538.0,24078.0
862.5,-24.5,0.8,165.0,959538.0,28373.0
862.5,-24.0,0.83,178.0,959538.0,33020.0
862.5,-23.5,0.87,193.0,959538.0,38819.0
862.5,-23.0,0.89,207.0,959538.0,44655.0
862.5,-22.5,0.92,223.0,959538.0,51825.0
862.5,-22.0,0.97,242.0,959538.0,61033.0
862.5,-21.5,0.98,258.0,959538.0,69370.0
862.5,-21.0,1.01,277.0,959538.0,79964.0
862.5,-20.5,1.03,297.0,959538.0,91928.0
862.5,-20.0,1.05,318.0,959538.0,105388.0
862.5,-19.5,1.09,342.0,959538.0,121896.0
862.5,-19.0,1.09,363.0,959538.0,137325.0
862.5,-18.5,1.11,388.0,959538.0,156892.0
862.5,-18.0,1.13,415.0,959538.0,179487.0
862.5,-17.5,1.14,442.0,959538.0,203602.0
862.5,-17.0,1.16,471.0,959538.0,231195.0
862.5,-16.5,1.17,502.0,959538.0,262630.0
862.5,-16.0,1.18,534.0,959538.0,297180.0
862.5,-15.5,1.19,568.0,959538.0,336228.0
862.5,-15.0,1.21,605.0,959538.0,381459.0
862.5,-14.5,1.21,641.0,959538.0,428207.0
862.5,-14.0,1.21,681.0,959538.0,483316.0
862.5,-13.5,1.22,722.0,959538.0,543265.0
862.5,-13.0,1.22,766.0,959538.0,611498.0
862.5,-12.5,1.22,813.0,959538.0,688840.0
862.5,-12.0,1.23,863.0,959538.0,776174.0
862.5,-11.5,1.24,916.0,959538.0,874437.0
862.5,-11.0,1.24,971.0,959538.0,982598.0
862.5,-10.5,1.23,1025.0,959538.0,1094927.0
862.5,-10.0,5.37,1046.0,203802.0,5368524.0
862.5,-9.5,12.28,1050.0,80033.0,13775567.0
862.5,-9.0,18.61,1047.0,46781.0,23432782.0
862.5,-8.5,24.27,1047.0,31974.0,34284387.0
862.5,-8.0,28.45,1045.0,24216.0,45095185.0
862.5,-7.5,32.42,1042.0,18831.0,57658329.0
862.5,-7.0,35.7,1041.0,15212.0,71238561.0
862.5,-6.5,38.29,1042.0,12667.0,85715954.0
862.5,-6.0,40.07,1044.0,10828.0,100659032.0
862.5,-5.5,41.08,1041.0,9361.0,115765516.0
862.5,-5.0,42.21,1048.0,8229.0,133467493.0
862.5,-4.5,42.43,1045.0,7254.0,150541080.0
862.5,-4.0,41.58,1047.0,6623.0,165515476.0
862.5,-3.5,41.48,1047.0,5916.0,185295638.0
862.5,-3.0,40.89,1044.0,5318.0,204952237.0
862.5,-2.5,40.3,1046.0,4828.0,226618889.0
862.5,-2.0,39.51,1046.0,4389.0,249285942.0
862.5,-1.5,38.62,1047.0,4009.0,273437016.0
862.5,-1.0,37.59,1046.0,3664.0,298612445.0
862.5,-0.5,36.4,1040.0,3334.0,324415116.0
862.5,0.0,35.23,1039.0,3064.0,352324086.0
862.5,0.5,32.7,1041.0,2954.0,366852064.0
862.5,1.0,31.55,1042.0,2734.0,397133869.0
862.5,1.5,30.28,1037.0,2514.0,427752187.0
862.5,2.0,29.31,1045.0,2351.0,464493832.0
862.5,2.5,28.0,1039.0,2168.0,497934040.0
862.5,3.0,27.13,1046.0,2021.0,541373577.0
862.5,3.5,25.63,1033.0,1860.0,573703763.0
862.5,4.0,24.75,1043.0,1750.0,621628000.0
862.5,4.5,26.0,1046.0,1493.0,732830542.0
862.5,5.0,24.65,1038.0,1382.0,779626628.0
862.5,5.5,23.09,1014.0,1255.0,819279681.0
862.5,6.0,22.15,1021.0,1182.0,881929780.0
862.5,6.5,21.17,1024.0,1109.0,945514878.0
862.5,7.0,20.14,1022.0,1035.0,1009163285.0
862.5,7.5,19.04,1015.0,962.0,1070919958.0
862.5,8.0,18.52,1039.0,924.0,1168312770.0
862.5,8.5,17.27,1023.0,856.0,1222580607.0
862.5,9.0,16.75,1044.0,819.0,1330813186.0
862.5,9.5,15.52,1015.0,745.0,1382852348.0
862.5,10.0,15.21,1037.0,707.0,1521031117.0
875.0,-25.0,0.9,165.0,959538.0,28373.0
875.0,-24.5,0.95,180.0,959538.0,33766.0
875.0,-24.0,1.0,195.0,959538.0,39628.0
875.0,-23.5,1.03,210.0,959538.0,45959.0
875.0,-23.0,1.06,226.0,959538.0,53229.0
875.0,-22.5,1.09,243.0,959538.0,61538.0
875.0,-22.0,1.13,262.0,959538.0,71538.0
875.0,-21.5,1.17,282.0,959538.0,82877.0
875.0,-21.0,1.2,302.0,959538.0,95049.0
875.0,-20.5,1.23,324.0,959538.0,109402.0
875.0,-20.0,1.25,347.0,959538.0,125486.0
875.0,-19.5,1.28,371.0,959538.0,143445.0
875.0,-19.0,1.3,397.0,959538.0,164255.0
875.0,-18.5,1.32,423.0,959538.0,186474.0
875.0,-18.0,1.34,451.0,959538.0,211978.0
875.0,-17.5,1.36,481.0,959538.0,241117.0
875.0,-17.0,1.37,513.0,959538.0,274266.0
875.0,-16.5,1.39,546.0,959538.0,310687.0
875.0,-16.0,1.41,583.0,959538.0,354221.0
875.0,-15.5,1.43,622.0,959538.0,403198.0
875.0,-15.0,1.43,658.0,959538.0,451221.0
875.0,-14.5,1.43,698.0,959538.0,507748.0
875.0,-14.0,1.44,741.0,959538.0,572234.0
875.0,-13.5,1.44,786.0,959538.0,643847.0
875.0,-13.0,1.45,834.0,959538.0,724886.0
875.0,-12.5,1.45,885.0,959538.0,816252.0
875.0,-12.0,1.45,938.0,959538.0,916945.0
875.0,-11.5,1.48,1001.0,959538.0,1044253.0
875.0,-11.0,2.54,1047.0,543870.0,2015571.0
875.0,-10.5,9.78,1042.0,124623.0,8712388.0
875.0,-10.0,16.53,1047.0,66305.0,16532825.0
875.0,-9.5,22.7,1047.0,43034.0,25473091.0
875.0,-9.0,28.21,1048.0,30924.0,35516233.0
875.0,-8.5,32.46,1046.0,23859.0,45857579.0
875.0,-8.0,35.84,1044.0,19190.0,56797081.0
875.0,-7.5,38.53,1045.0,15936.0,68525665.0
875.0,-7.0,40.78,1044.0,13395.0,81368868.0
875.0,-6.5,42.75,1035.0,11193.0,95704904.0
875.0,-6.0,43.5,1031.0,9728.0,109268194.0
875.0,-5.5,44.09,1045.0,8788.0,124263199.0
875.0,-5.0,44.39,1045.0,7780.0,140363110.0
875.0,-4.5,44.35,1044.0,6927.0,157346037.0
875.0,-4.0,44.08,1045.0,6223.0,175482082.0
875.0,-3.5,42.91,1045.0,5697.0,191684219.0
875.0,-3.0,42.21,1046.0,5172.0,211546017.0
875.0,-2.5,41.41,1044.0,4681.0,232842555.0
875.0,-2.0,40.27,1041.0,4265.0,254086987.0
875.0,-1.5,39.19,1045.0,3936.0,277445376.0
875.0,-1.0,37.99,1041.0,3591.0,301776942.0
875.0,-0.5,36.73,1039.0,3298.0,327325955.0
875.0,0.0,35.71,1046.0,3064.0,357087467.0
875.0,0.5,32.91,1038.0,2918.0,369240575.0
875.0,1.0,31.66,1037.0,2698.0,398580059.0
875.0,1.5,30.58,1042.0,2514.0,431887032.0
875.0,2.0,29.2,1035.0,2315.0,462732181.0
875.0,2.5,28.16,1042.0,2168.0,500813653.0
875.0,3.0,27.03,1044.0,2021.0,539305294.0
875.0,3.5,25.68,1034.0,1860.0,574815053.0
875.0,4.0,24.79,1044.0,1750.0,622820571.0
875.0,4.5,27.03,1026.0,1382.0,761704775.0
875.0,5.0,26.05,1038.0,1308.0,823733944.0
875.0,5.5,24.86,1037.0,1219.0,882173092.0
875.0,6.0,23.82,1042.0,1145.0,948265502.0
875.0,6.5,22.74,1043.0,1071.0,1015732026.0
875.0,7.0,21.54,1038.0,998.0,1079603206.0
875.0,7.5,20.42,1030.0,924.0,1148160173.0
875.0,8.0,18.96,1012.0,856.0,1196429906.0
875.0,8.5,18.37,1032.0,819.0,1300395604.0
875.0,9.0,17.0,1003.0,745.0,1350347651.0
875.0,9.5,16.38,1016.0,707.0,1460050919.0
875.0,10.0,15.31,1000.0,653.0,1531393568.0
887.5,-25.0,1.1,183.0,959538.0,34901.0
887.5,-24.5,1.14,197.0,959538.0,40445.0
887.5,-24.0,1.2,214.0,959538.0,47727.0
887.5,-23.5,1.24,231.0,959538.0,55611.0
887.5,-23.0,1.29,249.0,959538.0,64615.0
887.5,-22.5,1.34,269.0,959538.0,75412.0
887.5,-22.0,1.37,288.0,959538.0,86441.0
887.5,-21.5,1.41,310.0,959538.0,100152.0
887.5,-21.0,1.45,333.0,959538.0,115564.0
887.5,-20.5,1.49,357.0,959538.0,132823.0
887.5,-20.0,1.53,383.0,959538.0,152874.0
887.5,-19.5,1.56,410.0,959538.0,175188.0
887.5,-19.0,1.59,438.0,959538.0,199933.0
887.5,-18.5,1.62,469.0,959538.0,229236.0
887.5,-18.0,1.62,497.0,959538.0,257424.0
887.5,-17.5,1.64,529.0,959538.0,291641.0
887.5,-17.0,1.66,563.0,959538.0,330335.0
887.5,-16.5,1.69,603.0,959538.0,378941.0
887.5,-16.0,1.69,638.0,959538.0,424208.0
887.5,-15.5,1.7,679.0,959538.0,480482.0
887.5,-15.0,1.72,722.0,959538.0,543265.0
887.5,-14.5,1.72,766.0,959538.0,611498.0
887.5,-14.0,1.74,816.0,959538.0,693933.0
887.5,-13.5,1.73,862.0,959538.0,774376.0
887.5,-13.0,1.74,916.0,959538.0,874437.0
887.5,-12.5,1.75,971.0,959538.0,982598.0
887.5,-12.0,1.74,1027.0,959538.0,1099205.0
887.5,-11.5,6.81,1047.0,227282.0,4823122.0
887.5,-11.0,15.47,1035.0,87181.0,12287367.0
887.5,-10.5,20.92,1050.0,59130.0,18645357.0
887.5,-10.0,26.68,1050.0,41328.0,26676829.0
887.5,-9.5,31.41,1044.0,30924.0,35245634.0
887.5,-9.0,35.37,1046.0,24570.0,44530565.0
887.5,-8.5,38.76,1044.0,19908.0,54748643.0
887.5,-8.0,41.28,1044.0,16659.0,65426256.0
887.5,-7.5,43.15,1041.0,14123.0,76731643.0
887.5,-7.0,44.5,1029.0,11924.0,88799144.0
887.5,-6.5,45.21,1029.0,10462.0,101208277.0
887.5,-6.0,45.65,1036.0,9361.0,114656126.0
887.5,-5.5,45.97,1046.0,8445.0,129557844.0
887.5,-5.0,45.75,1046.0,7562.0,144686061.0
887.5,-4.5,45.29,1044.0,6782.0,160710115.0
887.5,-4.0,44.79,1044.0,6113.0,178298053.0
887.5,-3.5,43.87,1043.0,5551.0,195973518.0
887.5,-3.0,42.96,1044.0,5062.0,215317265.0
887.5,-2.5,41.97,1047.0,4645.0,235997631.0
887.5,-2.0,40.61,1041.0,4229.0,256249940.0
887.5,-1.5,39.48,1044.0,3900.0,279470769.0
887.5,-1.0,38.28,1045.0,3591.0,304100529.0
887.5,-0.5,36.87,1041.0,3298.0,328587325.0
887.5,0.0,35.78,1047.0,3064.0,357770561.0
887.5,0.5,33.96,1041.0,2844.0,381041139.0
887.5,1.0,32.62,1038.0,2624.0,410611280.0
887.5,1.5,31.53,1047.0,2461.0,445432344.0
887.5,2.0,30.19,1044.0,2278.0,478461808.0
887.5,2.5,28.75,1035.0,2095.0,511324582.0
887.5,3.0,27.51,1034.0,1948.0,548848049.0
887.5,3.5,26.45,1039.0,1823.0,592167306.0
887.5,4.0,25.1,1028.0,1676.0,630539379.0
887.5,4.5,26.42,1028.0,1419.0,744738548.0
887.5,5.0,25.51,1042.0,1346.0,806659732.0
887.5,5.5,24.34,1041.0,1255.0,863490836.0
887.5,6.0,22.78,1019.0,1145.0,906865502.0
887.5,6.5,21.7,1019.0,1071.0,969524743.0
887.5,7.0,20.6,1015.0,998.0,1032289579.0
887.5,7.5,20.11,1043.0,962.0,1130820166.0
887.5,8.0,18.72,1027.0,893.0,1181107502.0
887.5,8.5,17.45,1006.0,819.0,1235697191.0
887.5,9.0,16.84,1022.0,781.0,1337367477.0
887.5,9.5,16.13,1035.0,745.0,1437885906.0
887.5,10.0,15.53,1048.0,707.0,1553471004.0
900.0,-25.0,1.25,195.0,959538.0,39628.0
900.0,-24.5,1.37,216.0,959538.0,48623.0
900.0,-24.0,1.4,231.0,959538.0,55611.0
900.0,-23.5,1.46,250.0,959538.0,65135.0
900.0,-23.0,1.56,274.0,959538.0,78241.0
900.0,-22.5,1.59,293.0,959538.0,89469.0
900.0,-22.0,1.65,316.0,959538.0,104066.0
900.0,-21.5,1.72,342.0,959538.0,121896.0
900.0,-21.0,1.76,366.0,959538.0,139604.0
900.0,-20.5,1.82,395.0,959538.0,162604.0
900.0,-20.0,1.86,422.0,959538.0,185593.0
900.0,-19.5,1.88,450.0,959538.0,211039.0
900.0,-19.0,1.94,484.0,959538.0,244134.0
900.0,-18.5,1.96,515.0,959538.0,276409.0
900.0,-18.0,1.99,550.0,959538.0,315255.0
900.0,-17.5,2.02,587.0,959538.0,359098.0
900.0,-17.0,2.04,625.0,959538.0,407096.0
900.0,-16.5,2.06,666.0,959538.0,462259.0
900.0,-16.0,2.09,710.0,959538.0,525356.0
900.0,-15.5,2.1,753.0,959538.0,590918.0
900.0,-15.0,2.11,800.0,959538.0,666987.0
900.0,-14.5,2.12,849.0,959538.0,751195.0
900.0,-14.0,2.14,905.0,959538.0,853561.0
900.0,-13.5,2.13,956.0,959538.0,952475.0
900.0,-13.0,2.14,1014.0,959538.0,1071553.0
900.0,-12.5,5.55,1047.0,351337.0,3120106.0
900.0,-12.0,13.7,1038.0,124623.0,8645627.0
900.0,-11.5,19.81,1047.0,78150.0,14026986.0
900.0,-11.0,25.75,1046.0,53494.0,20453060.0
900.0,-10.5,30.94,1045.0,39607.0,27571515.0
900.0,-10.0,35.25,1044.0,30924.0,35245634.0
900.0,-9.5,38.57,1046.0,25280.0,43279905.0
900.0,-9.0,41.34,1045.0,20984.0,52040840.0
900.0,-8.5,43.49,1044.0,17743.0,61429070.0
900.0,-8.0,45.12,1043.0,15212.0,71512555.0
900.0,-7.5,46.14,1034.0,13031.0,82047118.0
900.0,-7.0,46.63,1037.0,11559.0,93033047.0
900.0,-6.5,46.86,1029.0,10094.0,104898058.0
900.0,-6.0,46.89,1047.0,9308.0,117770627.0
