frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-20.0,0.0,11.0,959538.0,126.0
850.0,-19.5,0.0,16.0,959538.0,266.0
850.0,-19.0,0.0,22.0,959538.0,504.0
850.0,-18.5,0.01,30.0,959538.0,937.0
850.0,-18.0,0.01,40.0,959538.0,1667.0
850.0,-17.5,0.02,53.0,959538.0,2927.0
850.0,-17.0,0.02,68.0,959538.0,4818.0
850.0,-16.5,0.03,86.0,959538.0,7707.0
850.0,-16.0,0.05,107.0,959538.0,11931.0
850.0,-15.5,0.06,129.0,959538.0,17342.0
850.0,-15.0,0.08,155.0,959538.0,25038.0
850.0,-14.5,0.1,184.0,959538.0,35283.0
850.0,-14.0,0.12,216.0,959538.0,48623.0
850.0,-13.5,0.15,251.0,959538.0,65657.0
850.0,-13.0,0.17,289.0,959538.0,87042.0
850.0,-12.5,0.2,331.0,959538.0,114180.0
850.0,-12.0,0.23,376.0,959538.0,147337.0
850.0,-11.5,0.26,421.0,959538.0,184714.0
850.0,-11.0,0.29,473.0,959538.0,233163.0
850.0,-10.5,0.33,528.0,959538.0,290539.0
850.0,-10.0,3.72,546.0,80033.0,3724913.0
850.0,-9.5,8.25,541.0,31623.0,9255320.0
850.0,-9.0,12.27,529.0,18111.0,15451438.0
850.0,-8.5,15.15,528.0,13031.0,21393906.0
850.0,-8.0,17.43,528.0,10094.0,27618783.0
850.0,-7.5,19.17,544.0,8679.0,34097937.0
850.0,-7.0,20.77,540.0,7037.0,41438112.0
850.0,-6.5,22.07,539.0,5879.0,49416737.0
850.0,-6.0,23.01,539.0,5026.0,57803621.0
850.0,-5.5,23.68,539.0,4353.0,66740408.0
850.0,-5.0,24.06,537.0,3790.0,76086807.0
850.0,-4.5,24.29,536.0,3334.0,86171565.0
850.0,-4.0,24.55,534.0,2918.0,97723098.0
850.0,-3.5,24.42,535.0,2624.0,109079649.0
850.0,-3.0,24.29,535.0,2351.0,121746065.0
850.0,-2.5,24.02,532.0,2095.0,135094988.0
850.0,-2.0,24.03,531.0,1860.0,151591935.0
850.0,-1.5,24.84,537.0,1640.0,175834756.0
850.0,-1.0,25.88,533.0,1382.0,205563675.0
850.0,-0.5,27.32,528.0,1145.0,243479475.0
850.0,0.0,28.76,526.0,962.0,287604989.0
850.0,0.5,31.15,535.0,819.0,349481074.0
850.0,1.0,31.92,533.0,707.0,401823196.0
850.0,1.5,32.4,531.0,616.0,457728896.0
850.0,2.0,32.45,528.0,542.0,514361623.0
850.0,2.5,31.87,515.0,468.0,566720085.0
850.0,3.0,32.42,528.0,431.0,646830626.0
850.0,3.5,32.53,535.0,393.0,728307888.0
850.0,4.0,32.16,537.0,357.0,807756302.0
850.0,4.5,29.61,516.0,319.0,834658307.0
850.0,5.0,28.61,506.0,283.0,904720848.0
850.0,5.5,30.13,550.0,283.0,1068904593.0
850.0,6.0,28.47,527.0,245.0,1133587755.0
850.0,6.5,26.14,494.0,209.0,1167636363.0
850.0,7.0,27.22,534.0,209.0,1364382775.0
