915mhz,,868mhz,,950mhz,
X,Y,X,Y,X,Y
-13.893805309734512,0.21278594089163505,-13.964601769911503,-0.02341097567764905,-13.929203539823007,-0.023237045694898484
-13.044247787610619,1.9858281850058432,-11.557522123893804,0.34218984805475827,-12.973451327433626,0.09938359214112324
-11.98230088495575,8.123121556186334,-11.02654867256637,0.6985723827015988,-12.017699115044245,3.288041965826224
-9.999999999999998,34.78380503144653,-9.964601769911502,9.430205376523617,-11.02654867256637,13.198572382701613
-9.00884955752212,43.8688637502087,-9.00884955752212,22.760373184170973,-9.999999999999998,26.764937106918232
-8.017699115044246,50.005809261423714,-8.017699115044246,35.02939416708409,-9.00884955752212,36.675467523793614
-7.026548672566371,53.43049062169532,-7.026548672566371,43.76067930094061,-8.017699115044246,43.28411114821616
-6.035398230088493,55.08630405743863,-5.999999999999998,49.42610062893081,-6.991150442477874,47.652362664885615
-5.008849557522121,54.855498970334494,-4.973451327433626,52.4971823342795,-5.999999999999998,49.66194968553459
-4.0176991150442465,53.563199198530626,-3.98230088495575,53.09167501530583,-5.008849557522121,50.020593309957135
-2.991150442477874,51.917299771803854,-3.026548672566369,52.74259753993432,-4.0176991150442465,50.497161462681575
-1.9999999999999964,52.865566037735846,-1.9999999999999964,51.33254716981131,-3.026548672566369,53.332220181443745
-0.9734513274336258,56.880043969499624,-0.9380530973451293,50.630217899482375,-1.9999999999999964,56.874999999999986
-0.017699115044244706,59.361155173373405,0.9734513274336294,56.653761061946895,-1.0088495575221224,59.4742096621584
0.9734513274336294,61.25281766572048,1.964601769911507,59.252970724105296,0.01769911504424826,60.77642344297879
2.0000000000000036,62.3191823899371,2.991150442477881,60.90895808983135,1.008849557522126,61.37091612400511
2.991150442477881,62.67782601435965,4.017699115044252,61.857398285746086,2.991150442477881,61.380656203038896
3.9823008849557553,62.210997940668996,5.0088495575221295,61.74434379696109,3.9823008849557553,60.795903601046355
4.973451327433633,60.918698168865134,5.964601769911511,61.04149273668392,4.973451327433633,59.38567930094061
6.0000000000000036,59.154874213836464,6.991150442477878,59.395593309957135,6.0000000000000036,57.503930817610055
6.991150442477878,56.919178215617514,8.017699115044252,57.16007124172093,6.991150442477878,55.15031029108921
8.017699115044252,54.21195803417376,9.008849557522126,54.57060165859632,9.008849557522126,49.617771469917066
9.008849557522126,51.38663939444537,10.0353982300885,51.50960789224689,10.000000000000004,47.02830188679244
10.0353982300885,48.08979657149217,10.991150442477881,48.33034173763009,11.026548672566378,43.96730812044302
11.026548672566378,44.91070434685812,,,,
