table,frequency_mhz,tuning_frequency_mhz,target_voltage_mv,source,n_points,model,r2,x_sens,x_sat,eta,y_max
SMS7621005LF,912.5,915.0,1500.0,measured,41,piecewise,0.9951248827392147,273.3333333333333,890.2222222222222,0.8072846864087904,498.0049532157338
SMS7630005LF,912.5,915.0,1500.0,measured,41,piecewise,0.9915097136750198,97.77777777777777,780.4444444444443,0.5464141694866874,373.0187397029119
