frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-25.0,0.27,90.0,959538.0,8441.0
850.0,-24.5,0.27,95.0,959538.0,9405.0
850.0,-24.0,0.29,105.0,959538.0,11489.0
850.0,-23.5,0.29,111.0,959538.0,12840.0
850.0,-23.0,0.3,120.0,959538.0,15007.0
850.0,-22.5,0.31,130.0,959538.0,17612.0
850.0,-22.0,0.32,140.0,959538.0,20426.0
850.0,-21.5,0.34,152.0,959538.0,24078.0
850.0,-21.0,0.36,165.0,959538.0,28373.0
850.0,-20.5,0.37,178.0,959538.0,33020.0
850.0,-20.0,0.39,194.0,959538.0,39223.0
850.0,-19.5,0.41,209.0,959538.0,45522.0
850.0,-19.0,0.43,227.0,959538.0,53701.0
850.0,-18.5,0.44,245.0,959538.0,62556.0
850.0,-18.0,0.47,267.0,959538.0,74295.0
850.0,-17.5,0.48,287.0,959538.0,85842.0
850.0,-17.0,0.51,311.0,959538.0,100799.0
850.0,-16.5,0.53,336.0,959538.0,117656.0
850.0,-16.0,0.55,363.0,959538.0,137325.0
850.0,-15.5,0.58,395.0,959538.0,162604.0
850.0,-15.0,0.61,429.0,959538.0,191801.0
850.0,-14.5,0.62,459.0,959538.0,219565.0
850.0,-14.0,0.64,495.0,959538.0,255357.0
850.0,-13.5,0.67,537.0,959538.0,300529.0
850.0,-13.0,0.69,574.0,959538.0,343369.0
850.0,-12.5,0.71,617.0,959538.0,396741.0
850.0,-12.0,0.73,664.0,959538.0,459487.0
850.0,-11.5,0.76,718.0,959538.0,537262.0
850.0,-11.0,0.78,771.0,959538.0,619507.0
850.0,-10.5,0.8,828.0,959538.0,714493.0
850.0,-10.0,0.82,888.0,959538.0,821795.0
850.0,-9.5,0.85,954.0,959538.0,948493.0
850.0,-9.0,0.87,1023.0,959538.0,1090659.0
850.0,-8.5,0.88,1093.0,959538.0,1245025.0
850.0,-8.0,0.9,1168.0,959538.0,1421750.0
850.0,-7.5,0.91,1249.0,959538.0,1625783.0
850.0,-7.0,0.93,1336.0,959538.0,1860161.0
850.0,-6.5,0.95,1428.0,959538.0,2125172.0
850.0,-6.0,0.97,1528.0,959538.0,2433237.0
850.0,-5.5,0.98,1630.0,959538.0,2768936.0
850.0,-5.0,1.0,1744.0,959538.0,3169792.0
850.0,-4.5,2.51,1796.0,362805.0,8890770.0
850.0,-4.0,9.25,1792.0,87181.0,36834447.0
850.0,-3.5,17.33,1796.0,41669.0,77410449.0
850.0,-3.0,25.88,1798.0,24926.0,129696060.0
850.0,-2.5,33.7,1796.0,17021.0,189508019.0
850.0,-2.0,41.05,1785.0,12301.0,259021624.0
850.0,-1.5,46.52,1790.0,9728.0,329368832.0
850.0,-1.0,51.39,1796.0,7902.0,408202480.0
850.0,-0.5,55.32,1797.0,6550.0,493009007.0
850.0,0.0,58.5,1796.0,5514.0,584986579.0
850.0,0.5,60.59,1791.0,4718.0,679881517.0
850.0,1.0,62.4,1791.0,4083.0,785618662.0
850.0,1.5,63.59,1796.0,3591.0,898250069.0
850.0,2.0,64.43,1794.0,3152.0,1021077411.0
850.0,2.5,64.73,1786.0,2771.0,1151135330.0
850.0,3.0,64.67,1782.0,2461.0,1290338886.0
850.0,3.5,64.5,1784.0,2204.0,1444036297.0
850.0,4.0,63.93,1785.0,1984.0,1605960181.0
850.0,4.5,62.43,1791.0,1823.0,1759561711.0
850.0,5.0,61.16,1781.0,1640.0,1934122560.0
850.0,5.5,59.95,1782.0,1493.0,2126941728.0
850.0,6.0,58.33,1768.0,1346.0,2322306092.0
850.0,6.5,57.41,1794.0,1255.0,2564490836.0
850.0,7.0,55.71,1788.0,1145.0,2792090829.0
850.0,7.5,53.71,1768.0,1035.0,3020119806.0
850.0,8.0,52.14,1779.0,962.0,3289855509.0
850.0,8.5,50.29,1783.0,893.0,3560010078.0
850.0,9.0,48.32,1773.0,819.0,3838252747.0
850.0,9.5,46.12,1750.0,745.0,4110738255.0
850.0,10.0,42.95,1695.0,653.0,4294967295.0
862.5,-25.0,0.26,89.0,959538.0,8255.0
862.5,-24.5,0.27,95.0,959538.0,9405.0
862.5,-24.0,0.27,102.0,959538.0,10842.0
862.5,-23.5,0.28,110.0,959538.0,12610.0
862.5,-23.0,0.29,118.0,959538.0,14511.0
862.5,-22.5,0.3,128.0,959538.0,17074.0
862.5,-22.0,0.32,139.0,959538.0,20135.0
862.5,-21.5,0.33,150.0,959538.0,23448.0
862.5,-21.0,0.35,164.0,959538.0,28030.0
862.5,-20.5,0.36,176.0,959538.0,32282.0
862.5,-20.0,0.38,192.0,959538.0,38418.0
862.5,-19.5,0.4,207.0,959538.0,44655.0
862.5,-19.0,0.42,224.0,959538.0,52291.0
862.5,-18.5,0.44,243.0,959538.0,61538.0
862.5,-18.0,0.45,263.0,959538.0,72085.0
862.5,-17.5,0.47,284.0,959538.0,84057.0
862.5,-17.0,0.49,307.0,959538.0,98223.0
862.5,-16.5,0.51,332.0,959538.0,114871.0
862.5,-16.0,0.54,362.0,959538.0,136569.0
862.5,-15.5,0.56,390.0,959538.0,158513.0
862.5,-15.0,0.58,420.0,959538.0,183838.0
862.5,-14.5,0.61,456.0,959538.0,216704.0
862.5,-14.0,0.62,488.0,959538.0,248186.0
862.5,-13.5,0.64,525.0,959538.0,287247.0
862.5,-13.0,0.67,567.0,959538.0,335045.0
862.5,-12.5,0.69,612.0,959538.0,390337.0
862.5,-12.0,0.71,655.0,959538.0,447116.0
862.5,-11.5,0.74,707.0,959538.0,520926.0
862.5,-11.0,0.76,762.0,959538.0,605128.0
862.5,-10.5,0.78,815.0,959538.0,692234.0
862.5,-10.0,0.8,876.0,959538.0,799734.0
862.5,-9.5,0.82,937.0,959538.0,914991.0
862.5,-9.0,0.83,1004.0,959538.0,1050522.0
862.5,-8.5,0.85,1076.0,959538.0,1206597.0
862.5,-8.0,0.88,1155.0,959538.0,1390278.0
862.5,-7.5,0.9,1236.0,959538.0,1592116.0
862.5,-7.0,0.91,1322.0,959538.0,1821380.0
862.5,-6.5,0.93,1413.0,959538.0,2080760.0
862.5,-6.0,0.95,1510.0,959538.0,2376247.0
862.5,-5.5,0.96,1612.0,959538.0,2708119.0
862.5,-5.0,0.98,1722.0,959538.0,3090324.0
