frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-25.0,0.27,90.0,959538.0,8441.0
850.0,-24.5,0.27,96.0,959538.0,9604.0
850.0,-24.0,0.29,105.0,959538.0,11489.0
850.0,-23.5,0.3,113.0,959538.0,13307.0
850.0,-23.0,0.3,120.0,959538.0,15007.0
850.0,-22.5,0.31,129.0,959538.0,17342.0
850.0,-22.0,0.32,140.0,959538.0,20426.0
850.0,-21.5,0.34,152.0,959538.0,24078.0
850.0,-21.0,0.36,165.0,959538.0,28373.0
850.0,-20.5,0.37,179.0,959538.0,33392.0
850.0,-20.0,0.39,194.0,959538.0,39223.0
850.0,-19.5,0.41,209.0,959538.0,45522.0
850.0,-19.0,0.43,228.0,959538.0,54176.0
850.0,-18.5,0.44,245.0,959538.0,62556.0
850.0,-18.0,0.46,265.0,959538.0,73186.0
850.0,-17.5,0.48,287.0,959538.0,85842.0
850.0,-17.0,0.51,311.0,959538.0,100799.0
850.0,-16.5,0.52,335.0,959538.0,116957.0
850.0,-16.0,0.55,363.0,959538.0,137325.0
850.0,-15.5,0.57,394.0,959538.0,161782.0
850.0,-15.0,0.6,425.0,959538.0,188241.0
850.0,-14.5,0.62,459.0,959538.0,219565.0
850.0,-14.0,0.64,494.0,959538.0,254326.0
850.0,-13.5,0.67,534.0,959538.0,297180.0
850.0,-13.0,0.68,573.0,959538.0,342174.0
850.0,-12.5,0.71,618.0,959538.0,398029.0
850.0,-12.0,0.73,664.0,959538.0,459487.0
850.0,-11.5,0.76,718.0,959538.0,537262.0
850.0,-11.0,0.78,771.0,959538.0,619507.0
850.0,-10.5,0.8,827.0,959538.0,712769.0
850.0,-10.0,0.82,887.0,959538.0,819945.0
850.0,-9.5,0.84,951.0,959538.0,942537.0
850.0,-9.0,0.86,1020.0,959538.0,1084271.0
850.0,-8.5,0.88,1093.0,959538.0,1245025.0
850.0,-8.0,0.9,1167.0,959538.0,1419317.0
850.0,-7.5,0.91,1249.0,959538.0,1625783.0
850.0,-7.0,0.93,1334.0,959538.0,1854596.0
850.0,-6.5,0.95,1427.0,959538.0,2122197.0
850.0,-6.0,0.97,1526.0,959538.0,2426872.0
850.0,-5.5,0.98,1629.0,959538.0,2765540.0
850.0,-5.0,1.0,1740.0,959538.0,3155268.0
850.0,-4.5,1.01,1858.0,959538.0,3597735.0
850.0,-4.0,1.04,1991.0,959538.0,4131239.0
850.0,-3.5,2.92,2045.0,320547.0,13046526.0
850.0,-3.0,9.9,2046.0,84406.0,49595005.0
850.0,-2.5,18.79,2046.0,39607.0,105691317.0
850.0,-2.0,27.78,2045.0,23859.0,175280816.0
850.0,-1.5,36.07,2040.0,16297.0,255359882.0
850.0,-1.0,42.76,2044.0,12301.0,339641980.0
850.0,-0.5,49.25,2027.0,9361.0,438919880.0
850.0,0.0,53.91,2048.0,7780.0,539113624.0
850.0,0.5,57.33,2047.0,6514.0,643262050.0
850.0,1.0,60.3,2046.0,5514.0,759179542.0
850.0,1.5,62.63,2043.0,4718.0,884664900.0
850.0,2.0,64.5,2043.0,4083.0,1022250551.0
850.0,2.5,65.59,2036.0,3554.0,1166374788.0
850.0,3.0,66.3,2042.0,3152.0,1322894670.0
850.0,3.5,66.69,2034.0,2771.0,1493019126.0
850.0,4.0,66.66,2030.0,2461.0,1674481917.0
850.0,4.5,65.54,2035.0,2242.0,1847111953.0
850.0,5.0,64.86,2036.0,2021.0,2051111331.0
850.0,5.5,63.96,2034.0,1823.0,2269421832.0
850.0,6.0,62.68,2023.0,1640.0,2495444512.0
850.0,6.5,61.37,2023.0,1493.0,2741144675.0
850.0,7.0,60.38,2045.0,1382.0,3026067293.0
850.0,7.5,58.56,2033.0,1255.0,3293298007.0
850.0,8.0,56.93,2028.0,1145.0,3591951091.0
850.0,8.5,54.75,2003.0,1035.0,3876337198.0
850.0,9.0,53.19,2016.0,962.0,4224798336.0
