frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
800.0,-20.0,0.33,179.0,972083.0,32961.0
800.0,-19.5,0.34,193.0,972083.0,38318.0
800.0,-19.0,0.36,209.0,972083.0,44935.0
800.0,-18.5,0.37,226.0,972083.0,52542.0
800.0,-18.0,0.39,245.0,972083.0,61748.0
800.0,-17.5,0.4,264.0,972083.0,71697.0
800.0,-17.0,0.42,286.0,972083.0,84145.0
800.0,-16.5,0.44,309.0,972083.0,98223.0
800.0,-16.0,0.46,334.0,972083.0,114759.0
800.0,-15.5,0.47,360.0,972083.0,133321.0
800.0,-15.0,0.49,387.0,972083.0,154070.0
800.0,-14.5,0.5,417.0,972083.0,178882.0
800.0,-14.0,0.52,449.0,972083.0,207390.0
800.0,-13.5,0.54,484.0,972083.0,240983.0
800.0,-13.0,0.56,522.0,972083.0,280309.0
800.0,-12.5,0.57,560.0,972083.0,322606.0
800.0,-12.0,0.59,602.0,972083.0,372811.0
800.0,-11.5,0.61,647.0,972083.0,430630.0
800.0,-11.0,0.62,690.0,972083.0,489772.0
800.0,-10.5,0.63,740.0,972083.0,563326.0
800.0,-10.0,0.65,794.0,972083.0,648541.0
800.0,-9.5,1.7,793.0,329168.0,1910419.0
800.0,-9.0,4.04,790.0,122609.0,5090164.0
800.0,-8.5,7.48,798.0,60285.0,10563224.0
800.0,-8.0,12.41,796.0,32206.0,19673849.0
800.0,-7.5,17.77,796.0,20046.0,31608101.0
800.0,-7.0,23.55,785.0,13112.0,46997025.0
800.0,-6.5,27.96,783.0,9793.0,62604819.0
800.0,-6.0,31.93,779.0,7567.0,80195718.0
800.0,-5.5,35.55,756.0,5704.0,100199158.0
800.0,-5.0,37.73,769.0,4957.0,119298164.0
800.0,-4.5,39.71,735.0,3834.0,140903755.0
800.0,-4.0,41.3,794.0,3834.0,164432968.0
800.0,-3.5,41.79,711.0,2708.0,186676883.0
800.0,-3.0,42.15,702.0,2333.0,211231890.0
800.0,-2.5,43.45,755.0,2333.0,244331333.0
800.0,-2.0,42.83,727.0,1956.0,270209100.0
800.0,-1.5,44.05,781.0,1956.0,311841002.0
800.0,-1.0,42.11,727.0,1580.0,334512025.0
800.0,-0.5,43.32,781.0,1580.0,386051265.0
800.0,0.0,97.31,661.0,449.0,973097995.0
812.5,-20.0,0.38,193.0,972083.0,38318.0
812.5,-19.5,0.39,207.0,972083.0,44079.0
812.5,-19.0,0.41,224.0,972083.0,51616.0
812.5,-18.5,0.43,243.0,972083.0,60744.0
812.5,-18.0,0.45,262.0,972083.0,70615.0
812.5,-17.5,0.46,283.0,972083.0,82389.0
812.5,-17.0,0.48,306.0,972083.0,96325.0
812.5,-16.5,0.5,330.0,972083.0,112027.0
812.5,-16.0,0.52,357.0,972083.0,131109.0
812.5,-15.5,0.54,386.0,972083.0,153274.0
812.5,-15.0,0.55,412.0,972083.0,174618.0
812.5,-14.5,0.57,444.0,972083.0,202797.0
812.5,-14.0,0.59,478.0,972083.0,235045.0
812.5,-13.5,0.61,515.0,972083.0,272841.0
812.5,-13.0,0.63,554.0,972083.0,315730.0
812.5,-12.5,0.65,596.0,972083.0,365417.0
812.5,-12.0,0.67,641.0,972083.0,422680.0
812.5,-11.5,0.69,688.0,972083.0,486937.0
812.5,-11.0,0.69,729.0,972083.0,546703.0
812.5,-10.5,0.71,782.0,972083.0,629086.0
812.5,-10.0,1.52,793.0,414560.0,1516907.0
812.5,-9.5,3.69,790.0,150802.0,4138539.0
812.5,-9.0,6.96,798.0,72727.0,8756087.0
812.5,-8.5,11.75,796.0,38170.0,16599842.0
812.5,-8.0,17.08,794.0,23295.0,27063146.0
812.5,-7.5,22.38,790.0,15679.0,39804834.0
812.5,-7.0,26.8,789.0,11640.0,53481185.0
812.5,-6.5,31.23,779.0,8681.0,69904504.0
812.5,-6.0,34.78,772.0,6822.0,87362063.0
812.5,-5.5,37.27,774.0,5704.0,105027349.0
812.5,-5.0,39.33,755.0,4583.0,124378136.0
812.5,-4.5,40.91,746.0,3834.0,145152842.0
812.5,-4.0,42.17,762.0,3459.0,167864700.0
812.5,-3.5,42.26,715.0,2708.0,188783234.0
812.5,-3.0,42.15,702.0,2333.0,211231890.0
812.5,-2.5,43.45,755.0,2333.0,244331333.0
812.5,-2.0,42.71,726.0,1956.0,269466257.0
812.5,-1.5,43.94,780.0,1956.0,311042944.0
812.5,-1.0,41.88,725.0,1580.0,332674050.0
812.5,-0.5,42.98,778.0,1580.0,383091139.0
812.5,0.0,70.34,562.0,449.0,703438752.0
825.0,-20.0,0.38,193.0,972083.0,38318.0
825.0,-19.5,0.4,209.0,972083.0,44935.0
825.0,-19.0,0.41,225.0,972083.0,52078.0
825.0,-18.5,0.43,244.0,972083.0,61245.0
825.0,-18.0,0.45,264.0,972083.0,71697.0
825.0,-17.5,0.47,286.0,972083.0,84145.0
825.0,-17.0,0.5,310.0,972083.0,98859.0
825.0,-16.5,0.51,333.0,972083.0,114073.0
825.0,-16.0,0.53,361.0,972083.0,134063.0
825.0,-15.5,0.56,390.0,972083.0,156468.0
825.0,-15.0,0.57,417.0,972083.0,178882.0
825.0,-14.5,0.59,450.0,972083.0,208315.0
825.0,-14.0,0.61,484.0,972083.0,240983.0
825.0,-13.5,0.63,522.0,972083.0,280309.0
825.0,-13.0,0.65,562.0,972083.0,324914.0
825.0,-12.5,0.67,603.0,972083.0,374051.0
825.0,-12.0,0.69,649.0,972083.0,433297.0
825.0,-11.5,0.71,698.0,972083.0,501195.0
825.0,-11.0,0.71,743.0,972083.0,567903.0
825.0,-10.5,0.74,798.0,972083.0,655092.0
825.0,-10.0,2.01,793.0,313514.0,2005808.0
825.0,-9.5,4.67,788.0,118572.0,5236851.0
825.0,-9.0,8.23,799.0,61611.0,10361802.0
825.0,-8.5,13.21,796.0,33969.0,18652771.0
825.0,-8.0,18.55,795.0,21493.0,29406085.0
825.0,-7.5,23.04,792.0,15313.0,40962842.0
825.0,-7.0,27.61,788.0,11271.0,55092183.0
825.0,-6.5,32.04,772.0,8309.0,71727524.0
825.0,-6.0,35.05,775.0,6822.0,88042362.0
825.0,-5.5,37.74,753.0,5331.0,106360720.0
825.0,-5.0,39.54,757.0,4583.0,125037966.0
825.0,-4.5,41.06,783.0,4208.0,145696055.0
825.0,-4.0,41.54,714.0,3083.0,165357119.0
825.0,-3.5,43.05,770.0,3083.0,192312682.0
825.0,-3.0,43.12,765.0,2708.0,216109675.0
825.0,-2.5,43.22,753.0,2333.0,243038576.0
825.0,-2.0,42.36,723.0,1956.0,267243865.0
825.0,-1.5,43.6,777.0,1956.0,308654907.0
825.0,-1.0,41.65,723.0,1580.0,330841139.0
825.0,-0.5,42.76,776.0,1580.0,381124050.0
825.0,0.0,35.83,1172.0,3834.0,358263954.0
837.5,-20.0,0.35,185.0,972083.0,35207.0
837.5,-19.5,0.37,200.0,972083.0,41148.0
837.5,-19.0,0.38,216.0,972083.0,47995.0
837.5,-18.5,0.4,234.0,972083.0,56328.0
837.5,-18.0,0.42,254.0,972083.0,66368.0
837.5,-17.5,0.43,274.0,972083.0,77232.0
837.5,-17.0,0.45,296.0,972083.0,90132.0
837.5,-16.5,0.47,320.0,972083.0,105340.0
837.5,-16.0,0.49,346.0,972083.0,123154.0
837.5,-15.5,0.51,374.0,972083.0,143893.0
837.5,-15.0,0.53,405.0,972083.0,168735.0
837.5,-14.5,0.55,436.0,972083.0,195555.0
837.5,-14.0,0.57,469.0,972083.0,226278.0
837.5,-13.5,0.59,506.0,972083.0,263389.0
837.5,-13.0,0.61,544.0,972083.0,304434.0
837.5,-12.5,0.63,586.0,972083.0,353257.0
837.5,-12.0,0.65,630.0,972083.0,408298.0
837.5,-11.5,0.67,678.0,972083.0,472885.0
837.5,-11.0,0.69,729.0,972083.0,546703.0
837.5,-10.5,0.71,783.0,972083.0,630696.0
837.5,-10.0,1.52,795.0,414560.0,1524568.0
837.5,-9.5,3.7,791.0,150802.0,4149023.0
837.5,-9.0,6.96,798.0,72727.0,8756087.0
837.5,-8.5,11.67,797.0,38519.0,16490796.0
837.5,-8.0,17.08,794.0,23295.0,27063146.0
837.5,-7.5,21.76,788.0,16044.0,38702567.0
837.5,-7.0,26.53,785.0,11640.0,52940292.0
837.5,-6.5,30.91,775.0,8681.0,69188457.0
837.5,-6.0,33.84,782.0,7194.0,85004726.0
837.5,-5.5,36.69,768.0,5704.0,103405329.0
837.5,-5.0,38.92,751.0,4583.0,123063713.0
837.5,-4.5,40.44,777.0,4208.0,143471720.0
837.5,-4.0,41.07,710.0,3083.0,163509568.0
837.5,-3.5,42.61,766.0,3083.0,190319818.0
837.5,-3.0,42.89,763.0,2708.0,214981166.0
837.5,-2.5,42.88,750.0,2333.0,241105872.0
837.5,-2.0,42.36,723.0,1956.0,267243865.0
837.5,-1.5,43.37,775.0,1956.0,307067995.0
837.5,-1.0,41.65,723.0,1580.0,330841139.0
837.5,-0.5,42.76,776.0,1580.0,381124050.0
837.5,0.0,80.71,602.0,449.0,807135857.0
850.0,-20.0,0.32,177.0,972083.0,32228.0
850.0,-19.5,0.34,192.0,972083.0,37922.0
850.0,-19.0,0.35,206.0,972083.0,43654.0
850.0,-18.5,0.36,223.0,972083.0,51157.0
850.0,-18.0,0.38,242.0,972083.0,60245.0
850.0,-17.5,0.39,261.0,972083.0,70077.0
850.0,-17.0,0.41,283.0,972083.0,82389.0
850.0,-16.5,0.43,306.0,972083.0,96325.0
850.0,-16.0,0.45,330.0,972083.0,112027.0
850.0,-15.5,0.47,358.0,972083.0,131844.0
850.0,-15.0,0.49,389.0,972083.0,155666.0
850.0,-14.5,0.51,419.0,972083.0,180602.0
850.0,-14.0,0.53,452.0,972083.0,210171.0
850.0,-13.5,0.54,486.0,972083.0,242979.0
850.0,-13.0,0.56,524.0,972083.0,282461.0
850.0,-12.5,0.58,564.0,972083.0,327231.0
850.0,-12.0,0.6,607.0,972083.0,379030.0
850.0,-11.5,0.62,653.0,972083.0,438654.0
850.0,-11.0,0.65,707.0,972083.0,514204.0
850.0,-10.5,0.66,758.0,972083.0,591064.0
850.0,-10.0,0.9,796.0,700410.0,904635.0
850.0,-9.5,2.39,793.0,234658.0,2679853.0
850.0,-9.0,5.61,787.0,87642.0,7067034.0
850.0,-8.5,9.29,798.0,48511.0,13127002.0
850.0,-8.0,14.3,796.0,27950.0,22669624.0
850.0,-7.5,19.4,793.0,18231.0,34493390.0
850.0,-7.0,24.42,788.0,12745.0,48720596.0
850.0,-6.5,28.92,781.0,9421.0,64744825.0
850.0,-6.0,32.81,770.0,7194.0,82415902.0
850.0,-5.5,35.43,779.0,6077.0,99858647.0
850.0,-5.0,38.09,743.0,4583.0,120455814.0
850.0,-4.5,39.71,735.0,3834.0,140903755.0
850.0,-4.0,41.1,792.0,3834.0,163605633.0
850.0,-3.5,41.32,707.0,2708.0,184582348.0
850.0,-3.0,42.67,761.0,2708.0,213855612.0
850.0,-2.5,42.76,749.0,2333.0,240463351.0
850.0,-2.0,42.12,721.0,1956.0,265767382.0
850.0,-1.5,43.37,775.0,1956.0,307067995.0
850.0,-1.0,41.54,722.0,1580.0,329926582.0
850.0,-0.5,42.65,775.0,1580.0,380142405.0
850.0,0.0,30.83,1139.0,4208.0,308298716.0
862.5,-20.0,0.31,174.0,972083.0,31145.0
862.5,-19.5,0.33,189.0,972083.0,36746.0
862.5,-19.0,0.34,203.0,972083.0,42392.0
862.5,-18.5,0.35,219.0,972083.0,49338.0
862.5,-18.0,0.37,238.0,972083.0,58270.0
862.5,-17.5,0.38,257.0,972083.0,67945.0
862.5,-17.0,0.4,278.0,972083.0,79503.0
862.5,-16.5,0.42,301.0,972083.0,93202.0
862.5,-16.0,0.43,325.0,972083.0,108658.0
862.5,-15.5,0.45,352.0,972083.0,127462.0
862.5,-15.0,0.47,381.0,972083.0,149329.0
862.5,-14.5,0.49,412.0,972083.0,174618.0
862.5,-14.0,0.51,444.0,972083.0,202797.0
862.5,-13.5,0.53,478.0,972083.0,235045.0
862.5,-13.0,0.55,516.0,972083.0,273902.0
862.5,-12.5,0.56,554.0,972083.0,315730.0
862.5,-12.0,0.58,596.0,972083.0,365417.0
862.5,-11.5,0.6,641.0,972083.0,422680.0
862.5,-11.0,0.62,693.0,972083.0,494041.0
862.5,-10.5,0.64,743.0,972083.0,567903.0
862.5,-10.0,0.66,798.0,972083.0,655092.0
862.5,-9.5,1.81,793.0,309595.0,2031198.0
862.5,-9.0,4.31,788.0,114533.0,5421529.0
862.5,-8.5,7.78,798.0,57955.0,10987904.0
862.5,-8.0,12.69,796.0,31499.0,20115432.0
862.5,-7.5,18.3,793.0,19321.0,32547435.0
862.5,-7.0,23.21,790.0,13479.0,46301654.0
