frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
800.0,-20.0,0.18,131.0,972083.0,17653.0
800.0,-19.5,0.18,142.0,972083.0,20743.0
800.0,-19.0,0.19,153.0,972083.0,24081.0
800.0,-18.5,0.2,166.0,972083.0,28347.0
800.0,-18.0,0.21,179.0,972083.0,32961.0
800.0,-17.5,0.22,194.0,972083.0,38716.0
800.0,-17.0,0.22,207.0,972083.0,44079.0
800.0,-16.5,0.23,222.0,972083.0,50699.0
800.0,-16.0,0.24,240.0,972083.0,59254.0
800.0,-15.5,0.24,258.0,972083.0,68475.0
800.0,-15.0,0.25,277.0,972083.0,78932.0
800.0,-14.5,0.25,296.0,972083.0,90132.0
800.0,-14.0,0.26,319.0,972083.0,104683.0
800.0,-13.5,0.26,339.0,972083.0,118221.0
800.0,-13.0,0.27,362.0,972083.0,134807.0
800.0,-12.5,0.27,386.0,972083.0,153274.0
800.0,-12.0,0.28,414.0,972083.0,176318.0
800.0,-11.5,0.28,440.0,972083.0,199159.0
800.0,-11.0,0.29,472.0,972083.0,229182.0
800.0,-10.5,0.29,503.0,972083.0,260275.0
800.0,-10.0,0.29,534.0,972083.0,293345.0
800.0,-9.5,0.3,569.0,972083.0,333059.0
800.0,-9.0,0.3,606.0,972083.0,377782.0
800.0,-8.5,0.3,644.0,972083.0,426646.0
800.0,-8.0,0.3,685.0,972083.0,482700.0
800.0,-7.5,0.31,729.0,972083.0,546703.0
800.0,-7.0,0.31,774.0,972083.0,616280.0
800.0,-6.5,0.31,822.0,972083.0,695088.0
800.0,-6.0,0.31,871.0,972083.0,780428.0
800.0,-5.5,0.31,925.0,972083.0,880197.0
800.0,-5.0,0.31,981.0,972083.0,989998.0
800.0,-4.5,0.31,1040.0,972083.0,1112662.0
800.0,-4.0,0.31,1104.0,972083.0,1253818.0
800.0,-3.5,0.32,1171.0,972083.0,1410621.0
800.0,-3.0,0.32,1249.0,972083.0,1604802.0
800.0,-2.5,1.3,1299.0,230689.0,7314614.0
800.0,-2.0,5.33,1299.0,50211.0,33606201.0
800.0,-1.5,9.91,1298.0,24015.0,70156318.0
800.0,-1.0,14.43,1293.0,14581.0,114659419.0
800.0,-0.5,18.2,1284.0,10163.0,162221391.0
800.0,0.0,21.28,1269.0,7567.0,212813664.0
812.5,-20.0,0.25,155.0,972083.0,24714.0
812.5,-19.5,0.26,168.0,972083.0,29034.0
812.5,-19.0,0.27,181.0,972083.0,33701.0
812.5,-18.5,0.28,195.0,972083.0,39117.0
812.5,-18.0,0.29,210.0,972083.0,45366.0
812.5,-17.5,0.29,225.0,972083.0,52078.0
812.5,-17.0,0.3,243.0,972083.0,60744.0
812.5,-16.5,0.31,258.0,972083.0,68475.0
