frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
800.0,-20.0,0.18,132.0,972083.0,17924.0
800.0,-19.5,0.19,143.0,972083.0,21036.0
800.0,-19.0,0.19,154.0,972083.0,24397.0
800.0,-18.5,0.2,166.0,972083.0,28347.0
800.0,-18.0,0.21,179.0,972083.0,32961.0
800.0,-17.5,0.22,194.0,972083.0,38716.0
800.0,-17.0,0.22,208.0,972083.0,44506.0
800.0,-16.5,0.23,223.0,972083.0,51157.0
800.0,-16.0,0.23,239.0,972083.0,58761.0
800.0,-15.5,0.24,258.0,972083.0,68475.0
800.0,-15.0,0.25,277.0,972083.0,78932.0
800.0,-14.5,0.26,298.0,972083.0,91354.0
800.0,-14.0,0.26,318.0,972083.0,104028.0
800.0,-13.5,0.26,339.0,972083.0,118221.0
800.0,-13.0,0.27,363.0,972083.0,135553.0
800.0,-12.5,0.27,387.0,972083.0,154070.0
800.0,-12.0,0.28,413.0,972083.0,175467.0
800.0,-11.5,0.28,442.0,972083.0,200974.0
800.0,-11.0,0.29,472.0,972083.0,229182.0
800.0,-10.5,0.29,503.0,972083.0,260275.0
800.0,-10.0,0.3,536.0,972083.0,295546.0
800.0,-9.5,1.47,549.0,182875.0,1648125.0
800.0,-9.0,3.97,549.0,60285.0,4999601.0
800.0,-8.5,6.83,548.0,31146.0,9641815.0
800.0,-8.0,9.77,547.0,19321.0,15486206.0
800.0,-7.5,12.69,544.0,13112.0,22569859.0
800.0,-7.0,15.09,543.0,9793.0,30108138.0
800.0,-6.5,17.31,528.0,7194.0,38752293.0
800.0,-6.0,18.47,531.0,6077.0,46398058.0
800.0,-5.5,19.41,540.0,5331.0,54698930.0
800.0,-5.0,20.01,516.0,4208.0,63273764.0
800.0,-4.5,20.42,527.0,3834.0,72438445.0
800.0,-4.0,20.13,497.0,3083.0,80119688.0
800.0,-3.5,20.63,533.0,3083.0,92146934.0
800.0,-3.0,19.22,474.0,2333.0,96303471.0
800.0,-2.5,19.59,507.0,2333.0,110179597.0
800.0,-2.0,19.88,541.0,2333.0,125452636.0
800.0,-1.5,18.71,509.0,1956.0,132454498.0
